id,action block 1,context,simplified sentence 1,partial start time 1,owner 1,original action 1,most similar action 1,speed 1,duration 1,rotation 1,translation 1,target 1,prop 1,location modifier 1,direction modifier 1,manner 1,emotion 1,Action Block 2,simplified sentence 2,partial start time 2,owner 2,original action 2,most similar action 2,speed 2,duration 2,rotation 2,translation 2,target 2,prop 2,location modifier 2,direction modifier 2,manner 2,emotion 2,Action Block 3,simplified sentence 3,partial start time 3,owner 3,original action 3,most similar action 3,speed 3,duration 3,rotation 3,translation 3,target 3,prop 3,location modifier 3,direction modifier 3,manner 3,emotion 3,Action Block 4,simplified sentence 4,partial start time 4,owner 4,original action 4,most similar action 4,speed 4,duration 4,rotation 4,translation 4,target 4,prop 4,location modifier 4,direction modifier 4,manner 4,emotion 4,Action Block 5,simplified sentence 5,partial start time 5,owner 5,original action 5,most similar action 5,speed 5,duration 5,rotation 5,translation 5,target 5,prop 5,location modifier 5,direction modifier 5,manner 5,emotion 5,Action Block 6,simplified sentence 6,partial start time 6,owner 6,original action 6,most similar action 6,speed 6,duration 6,rotation 6,translation 6,target 6,prop 6,location modifier 6,direction modifier 6,manner 6,emotion 6,Action Block 7,simplified sentence 7,partial start time 7,owner 7,original action 7,most similar action 7,speed 7,duration 7,rotation 7,translation 7,target 7,prop 7,location modifier 7,direction modifier 7,manner 7,emotion 7,Action Block 8,simplified sentence 8,partial start time 8,owner 8,original action 8,most similar action 8,speed 8,duration 8,rotation 8,translation 8,target 8,prop 8,location modifier 8,direction modifier 8,manner 8,emotion 8,Action Block 9,simplified sentence 9,partial start time 9,owner 9,original action 9,most similar action 9,speed 9,duration 9,rotation 9,translation 9,target 9,prop 9,location modifier 9,direction modifier 9,manner 9,emotion 9,Action Block 10,simplified sentence 10,partial start time 10,owner 10,original action 10,most similar action 10,speed 10,duration 10,rotation 10,translation 10,target 10,prop 10,location modifier 10,direction modifier 10,manner 10,emotion 10,Action Block 11,simplified sentence 11,partial start time 11,owner 11,original action 11,most similar action 11,speed 11,duration 11,rotation 11,translation 11,target 11,prop 11,location modifier 11,direction modifier 11,manner 11,emotion 11,Action Block 12,simplified sentence 12,partial start time 12,owner 12,original action 12,most similar action 12,speed 12,duration 12,rotation 12,translation 12,target 12,prop 12,location modifier 12,direction modifier 12,manner 12,emotion 12
275,He points across the lot to a business man in a suit talking on a cell phone - the REAL ESTATE DEVELOPER.,"CONSTRUCTION FOREMAN TOM
	Hey! `Morning, Mr. Fredricksen! Need any help there?
		CARL
	No. Yes. Tell your boss over there that you boys are ruining our house.",Carl points to a business man across the lot.,0,Carl,pointing,point,neutral,short,Yes,No,business man,,across the lot,,,,He points across the lot to a business man in a suit talking on a cell phone - the REAL ESTATE DEVELOPER.,The business man is talking on a cell phone.,0,business man,talking,talk,neutral,short,Yes,No,,cell phone,,,,,He points across the lot to a business man in a suit talking on a cell phone - the REAL ESTATE DEVELOPER.,,,,,,,,,,,,,,,,He points across the lot to a business man in a suit talking on a cell phone - the REAL ESTATE DEVELOPER.,,,,,,,,,,,,,,,,He points across the lot to a business man in a suit talking on a cell phone - the REAL ESTATE DEVELOPER.,,,,,,,,,,,,,,,,He points across the lot to a business man in a suit talking on a cell phone - the REAL ESTATE DEVELOPER.,,,,,,,,,,,,,,,,He points across the lot to a business man in a suit talking on a cell phone - the REAL ESTATE DEVELOPER.,,,,,,,,,,,,,,,,He points across the lot to a business man in a suit talking on a cell phone - the REAL ESTATE DEVELOPER.,,,,,,,,,,,,,,,,He points across the lot to a business man in a suit talking on a cell phone - the REAL ESTATE DEVELOPER.,,,,,,,,,,,,,,,,He points across the lot to a business man in a suit talking on a cell phone - the REAL ESTATE DEVELOPER.,,,,,,,,,,,,,,,,He points across the lot to a business man in a suit talking on a cell phone - the REAL ESTATE DEVELOPER.,,,,,,,,,,,,,,,,He points across the lot to a business man in a suit talking on a cell phone - the REAL ESTATE DEVELOPER.,,,,,,,,,,,,,,,
276,Carl sits in his chair watching TV. A KNOCK at the door.,"CONSTRUCTION FOREMAN TOM
	I'll take that as a maybe!
			INT. CARL'S LIVING ROOM - DAY - LATER",Carl sits in his chair.,0,Carl,sits,sit,neutral,neutral,No,No,chair,,,,,,Carl sits in his chair watching TV. A KNOCK at the door.,Carl is watching tv.,0,Carl,watching,look,neutral,neutral,No,No,tv,,,,,,Carl sits in his chair watching TV. A KNOCK at the door.,Carl hears a knock at his door.,1,Carl,hears,think,fast ,short,No,No,knock,,at the door,,,,Carl sits in his chair watching TV. A KNOCK at the door.,,,,,,,,,,,,,,,,Carl sits in his chair watching TV. A KNOCK at the door.,,,,,,,,,,,,,,,,Carl sits in his chair watching TV. A KNOCK at the door.,,,,,,,,,,,,,,,,Carl sits in his chair watching TV. A KNOCK at the door.,,,,,,,,,,,,,,,,Carl sits in his chair watching TV. A KNOCK at the door.,,,,,,,,,,,,,,,,Carl sits in his chair watching TV. A KNOCK at the door.,,,,,,,,,,,,,,,,Carl sits in his chair watching TV. A KNOCK at the door.,,,,,,,,,,,,,,,,Carl sits in his chair watching TV. A KNOCK at the door.,,,,,,,,,,,,,,,,Carl sits in his chair watching TV. A KNOCK at the door.,,,,,,,,,,,,,,,
277,Carl closes the door in Russell's face.,"CARL
	No. 18.
		RUSSELL
	I could help you cross the street.
		CARL
	No.
		RUSSELL
	I could help you cross your yard.
		CARL
	No.
		RUSSELL
	I could help you cross your... porch?
		CARL
	No.
		RUSSELL
	Well, I gotta help you cross something.
		CARL
	Uh, no. I'm doing fine.",Carl closes the door in Russell's face.,0,Carl,closes,close,neutral,short,Yes,No,door,,,in Russell's face,,,Carl closes the door in Russell's face.,,,,,,,,,,,,,,,,Carl closes the door in Russell's face.,,,,,,,,,,,,,,,,Carl closes the door in Russell's face.,,,,,,,,,,,,,,,,Carl closes the door in Russell's face.,,,,,,,,,,,,,,,,Carl closes the door in Russell's face.,,,,,,,,,,,,,,,,Carl closes the door in Russell's face.,,,,,,,,,,,,,,,,Carl closes the door in Russell's face.,,,,,,,,,,,,,,,,Carl closes the door in Russell's face.,,,,,,,,,,,,,,,,Carl closes the door in Russell's face.,,,,,,,,,,,,,,,,Carl closes the door in Russell's face.,,,,,,,,,,,,,,,,Carl closes the door in Russell's face.,,,,,,,,,,,,,,,
278,Carl listens through the door. Is the kid gone? He opens it.,"INT. CARL'S HOUSE, FRONT HALL - CONTINUOUS",Carl listens through the door.,0,Carl,listens,touch,neutral,long,Yes,No,door,,,,,,Carl listens through the door. Is the kid gone? He opens it.,Carl opens the door.,1,Carl,opens,open,neutral,neutral,Yes,No,door,,,,,,Carl listens through the door. Is the kid gone? He opens it.,,,,,,,,,,,,,,,,Carl listens through the door. Is the kid gone? He opens it.,,,,,,,,,,,,,,,,Carl listens through the door. Is the kid gone? He opens it.,,,,,,,,,,,,,,,,Carl listens through the door. Is the kid gone? He opens it.,,,,,,,,,,,,,,,,Carl listens through the door. Is the kid gone? He opens it.,,,,,,,,,,,,,,,,Carl listens through the door. Is the kid gone? He opens it.,,,,,,,,,,,,,,,,Carl listens through the door. Is the kid gone? He opens it.,,,,,,,,,,,,,,,,Carl listens through the door. Is the kid gone? He opens it.,,,,,,,,,,,,,,,,Carl listens through the door. Is the kid gone? He opens it.,,,,,,,,,,,,,,,,Carl listens through the door. Is the kid gone? He opens it.,,,,,,,,,,,,,,,
279,Russell stops... but goes back to reading.,"RUSSELL
	'Good afternoon. My name is Russell.'
		CARL
	Uh... kid...
		RUSSELL
	'And I am a Wilderness Explorer in Tribe 54, Sweatlodge 12.'
		CARL
	Kid. KID!!",Russell stops reading.,0,Russell,stops reading,read,neutral,neutral,No,No,,,,,,,Russell stops... but goes back to reading.,Russell is reading.,1,Russell,reading,read,neutral,neutral,Yes,No,,,,,,,Russell stops... but goes back to reading.,,,,,,,,,,,,,,,,Russell stops... but goes back to reading.,,,,,,,,,,,,,,,,Russell stops... but goes back to reading.,,,,,,,,,,,,,,,,Russell stops... but goes back to reading.,,,,,,,,,,,,,,,,Russell stops... but goes back to reading.,,,,,,,,,,,,,,,,Russell stops... but goes back to reading.,,,,,,,,,,,,,,,,Russell stops... but goes back to reading.,,,,,,,,,,,,,,,,Russell stops... but goes back to reading.,,,,,,,,,,,,,,,,Russell stops... but goes back to reading.,,,,,,,,,,,,,,,,Russell stops... but goes back to reading.,,,,,,,,,,,,,,,
280,Carl opens the door. Russell stands at attention.,"RUSSELL
	Ow.",Carl opens the door.,0,Carl,opens,open,neutral,neutral,Yes,No,door,,,,,,Carl opens the door. Russell stands at attention.,Russell stands at attention,1,Russell,stands,stand,neutral,neutral,No,No,,,,,at attention,,Carl opens the door. Russell stands at attention.,,,,,,,,,,,,,,,,Carl opens the door. Russell stands at attention.,,,,,,,,,,,,,,,,Carl opens the door. Russell stands at attention.,,,,,,,,,,,,,,,,Carl opens the door. Russell stands at attention.,,,,,,,,,,,,,,,,Carl opens the door. Russell stands at attention.,,,,,,,,,,,,,,,,Carl opens the door. Russell stands at attention.,,,,,,,,,,,,,,,,Carl opens the door. Russell stands at attention.,,,,,,,,,,,,,,,,Carl opens the door. Russell stands at attention.,,,,,,,,,,,,,,,,Carl opens the door. Russell stands at attention.,,,,,,,,,,,,,,,,Carl opens the door. Russell stands at attention.,,,,,,,,,,,,,,,
281,"The truck hits Ellie's mailbox, crushing the front. Carl is shocked. He runs to the box.","ELLIE'S MAILBOX.
		CONSTRUCTION WORKER STEVE
	Okay, keep her coming... And... stop. Stop! STOP!!",The truck hits Ellie's mailbox.,0,truth,hits,hit,fast ,neutral,Yes,Yes,mailbox,,,,,,"The truck hits Ellie's mailbox, crushing the front. Carl is shocked. He runs to the box.",The truck crushes the front of the mailbox.,1,truck,crushes,hit,fast ,short,Yes,No,front of mailbox,,,,,,"The truck hits Ellie's mailbox, crushing the front. Carl is shocked. He runs to the box.",Carl is shocked.,2,Carl,is,look,fast ,neutral,Yes,No,,,,,shocked,shocked,"The truck hits Ellie's mailbox, crushing the front. Carl is shocked. He runs to the box.",Carl runs to the box.,3,Carl,runs,go,fast ,short,Yes,Yes,mailbox,,,,,,"The truck hits Ellie's mailbox, crushing the front. Carl is shocked. He runs to the box.",,,,,,,,,,,,,,,,"The truck hits Ellie's mailbox, crushing the front. Carl is shocked. He runs to the box.",,,,,,,,,,,,,,,,"The truck hits Ellie's mailbox, crushing the front. Carl is shocked. He runs to the box.",,,,,,,,,,,,,,,,"The truck hits Ellie's mailbox, crushing the front. Carl is shocked. He runs to the box.",,,,,,,,,,,,,,,,"The truck hits Ellie's mailbox, crushing the front. Carl is shocked. He runs to the box.",,,,,,,,,,,,,,,,"The truck hits Ellie's mailbox, crushing the front. Carl is shocked. He runs to the box.",,,,,,,,,,,,,,,,"The truck hits Ellie's mailbox, crushing the front. Carl is shocked. He runs to the box.",,,,,,,,,,,,,,,,"The truck hits Ellie's mailbox, crushing the front. Carl is shocked. He runs to the box.",,,,,,,,,,,,,,,
282,Carl sits alone on a bench holding a Court Summons.,INT. COURTHOUSE HALLWAY - DAY,Carl sits alone on a bench with a Court Summons.,0,Carl,sits,sit,neutral,neutral,No,No,bench,Court Summons,,,alone,,Carl sits alone on a bench holding a Court Summons.,,,,,,,,,,,,,,,,Carl sits alone on a bench holding a Court Summons.,,,,,,,,,,,,,,,,Carl sits alone on a bench holding a Court Summons.,,,,,,,,,,,,,,,,Carl sits alone on a bench holding a Court Summons.,,,,,,,,,,,,,,,,Carl sits alone on a bench holding a Court Summons.,,,,,,,,,,,,,,,,Carl sits alone on a bench holding a Court Summons.,,,,,,,,,,,,,,,,Carl sits alone on a bench holding a Court Summons.,,,,,,,,,,,,,,,,Carl sits alone on a bench holding a Court Summons.,,,,,,,,,,,,,,,,Carl sits alone on a bench holding a Court Summons.,,,,,,,,,,,,,,,,Carl sits alone on a bench holding a Court Summons.,,,,,,,,,,,,,,,,Carl sits alone on a bench holding a Court Summons.,,,,,,,,,,,,,,,
283,A GUARD opens the door. Carl enters. The REAL ESTATE DEVELOPER watches him enter.,INT. COURTROOM - DAY,A guard opens the door.,0,guard,opens,open,neutral,neutral,Yes,No,door,,,,,,A GUARD opens the door. Carl enters. The REAL ESTATE DEVELOPER watches him enter.,Carl enters.,1,Carl,enters,goForward,neutral,neutral,Yes,Yes,,,,,,,A GUARD opens the door. Carl enters. The REAL ESTATE DEVELOPER watches him enter.,The real estate developer watches Carl enter.,2,developer,watches,look,neutral,neutral,Yes,No,Carl,,,,,,A GUARD opens the door. Carl enters. The REAL ESTATE DEVELOPER watches him enter.,,,,,,,,,,,,,,,,A GUARD opens the door. Carl enters. The REAL ESTATE DEVELOPER watches him enter.,,,,,,,,,,,,,,,,A GUARD opens the door. Carl enters. The REAL ESTATE DEVELOPER watches him enter.,,,,,,,,,,,,,,,,A GUARD opens the door. Carl enters. The REAL ESTATE DEVELOPER watches him enter.,,,,,,,,,,,,,,,,A GUARD opens the door. Carl enters. The REAL ESTATE DEVELOPER watches him enter.,,,,,,,,,,,,,,,,A GUARD opens the door. Carl enters. The REAL ESTATE DEVELOPER watches him enter.,,,,,,,,,,,,,,,,A GUARD opens the door. Carl enters. The REAL ESTATE DEVELOPER watches him enter.,,,,,,,,,,,,,,,,A GUARD opens the door. Carl enters. The REAL ESTATE DEVELOPER watches him enter.,,,,,,,,,,,,,,,,A GUARD opens the door. Carl enters. The REAL ESTATE DEVELOPER watches him enter.,,,,,,,,,,,,,,,
284,"The officer drives off, leaving Carl alone. Carl faces the house. He touches Ellie's dented mailbox.","OFFICER EDITH
	The guys from Shady Oaks will be by to pick you up in the morning, okay?",The officer drives off.,0,officer,drives,go,neutral,neutral,Yes,Yes,,,,,,,"The officer drives off, leaving Carl alone. Carl faces the house. He touches Ellie's dented mailbox.",Carl is alone.,0,Carl,is,think,neutral,neutral,No,No,,,,,alone,,"The officer drives off, leaving Carl alone. Carl faces the house. He touches Ellie's dented mailbox.",Carl faces his house.,1,Carl,faces,look,neutral,neutral,No,No,house,,,,,,"The officer drives off, leaving Carl alone. Carl faces the house. He touches Ellie's dented mailbox.",Carl touches Ellie's dented mailbox.,3,Carl,touches,touch,neutral,neutral,Yes,No,mailbox,,,,,,"The officer drives off, leaving Carl alone. Carl faces the house. He touches Ellie's dented mailbox.",,,,,,,,,,,,,,,,"The officer drives off, leaving Carl alone. Carl faces the house. He touches Ellie's dented mailbox.",,,,,,,,,,,,,,,,"The officer drives off, leaving Carl alone. Carl faces the house. He touches Ellie's dented mailbox.",,,,,,,,,,,,,,,,"The officer drives off, leaving Carl alone. Carl faces the house. He touches Ellie's dented mailbox.",,,,,,,,,,,,,,,,"The officer drives off, leaving Carl alone. Carl faces the house. He touches Ellie's dented mailbox.",,,,,,,,,,,,,,,,"The officer drives off, leaving Carl alone. Carl faces the house. He touches Ellie's dented mailbox.",,,,,,,,,,,,,,,,"The officer drives off, leaving Carl alone. Carl faces the house. He touches Ellie's dented mailbox.",,,,,,,,,,,,,,,,"The officer drives off, leaving Carl alone. Carl faces the house. He touches Ellie's dented mailbox.",,,,,,,,,,,,,,,
285,Carl closes the door. Rather sharply. The nurses head back to the van.,"CARL
	I'll meet you at the van in just a minute. I... want to say one last goodbye to the old place.
		NURSE GEORGE
	Sure. Take all the time you need, sir.",Carl closes the door very sharply.,0,Carl,closees,close,neutral,neutral,Yes,No,door,,,,very sharply,,Carl closes the door. Rather sharply. The nurses head back to the van.,The nurses head back to the van.,1,nurses,head back,go,neutral,neutral,Yes,Yes,van,,,,,,Carl closes the door. Rather sharply. The nurses head back to the van.,,,,,,,,,,,,,,,,Carl closes the door. Rather sharply. The nurses head back to the van.,,,,,,,,,,,,,,,,Carl closes the door. Rather sharply. The nurses head back to the van.,,,,,,,,,,,,,,,,Carl closes the door. Rather sharply. The nurses head back to the van.,,,,,,,,,,,,,,,,Carl closes the door. Rather sharply. The nurses head back to the van.,,,,,,,,,,,,,,,,Carl closes the door. Rather sharply. The nurses head back to the van.,,,,,,,,,,,,,,,,Carl closes the door. Rather sharply. The nurses head back to the van.,,,,,,,,,,,,,,,,Carl closes the door. Rather sharply. The nurses head back to the van.,,,,,,,,,,,,,,,,Carl closes the door. Rather sharply. The nurses head back to the van.,,,,,,,,,,,,,,,,Carl closes the door. Rather sharply. The nurses head back to the van.,,,,,,,,,,,,,,,
286,Balloons spill colored light into a little girl's room as the house floats past.,"CARL
	So long boys! I'll send you a postcard from Paradise Falls!
			INT. APARTMENT - CONTINUOUS",Balloons spill colored light into a little girl's room.,0,balloons,spill,wave,neutral,neutral,Yes,Yes,colored light,,little girl's room,,,,Balloons spill colored light into a little girl's room as the house floats past.,The house floats past.,0,house,floats,fly,neutral,neutral,No,Yes,,,,past,,,Balloons spill colored light into a little girl's room as the house floats past.,,,,,,,,,,,,,,,,Balloons spill colored light into a little girl's room as the house floats past.,,,,,,,,,,,,,,,,Balloons spill colored light into a little girl's room as the house floats past.,,,,,,,,,,,,,,,,Balloons spill colored light into a little girl's room as the house floats past.,,,,,,,,,,,,,,,,Balloons spill colored light into a little girl's room as the house floats past.,,,,,,,,,,,,,,,,Balloons spill colored light into a little girl's room as the house floats past.,,,,,,,,,,,,,,,,Balloons spill colored light into a little girl's room as the house floats past.,,,,,,,,,,,,,,,,Balloons spill colored light into a little girl's room as the house floats past.,,,,,,,,,,,,,,,,Balloons spill colored light into a little girl's room as the house floats past.,,,,,,,,,,,,,,,,Balloons spill colored light into a little girl's room as the house floats past.,,,,,,,,,,,,,,,
287,"The house turns. Carl looks out the window, satisfied. He checks the balloons.",EXT. CARL'S HOUSE,The house turns.,0,house,turns,turn,neutral,neutral,Yes,Yes,,,,,,,"The house turns. Carl looks out the window, satisfied. He checks the balloons.","Carl looks out the window, satisfied.",1,Carl,looks,look,neutral,neutral,Yes,No,window,,,,satisfied,satisfied,"The house turns. Carl looks out the window, satisfied. He checks the balloons.",Carl checks the balloons,2,Carl,checks,lookAround,neutral,neutral,Yes,No,balloons,,,,,,"The house turns. Carl looks out the window, satisfied. He checks the balloons.",,,,,,,,,,,,,,,,"The house turns. Carl looks out the window, satisfied. He checks the balloons.",,,,,,,,,,,,,,,,"The house turns. Carl looks out the window, satisfied. He checks the balloons.",,,,,,,,,,,,,,,,"The house turns. Carl looks out the window, satisfied. He checks the balloons.",,,,,,,,,,,,,,,,"The house turns. Carl looks out the window, satisfied. He checks the balloons.",,,,,,,,,,,,,,,,"The house turns. Carl looks out the window, satisfied. He checks the balloons.",,,,,,,,,,,,,,,,"The house turns. Carl looks out the window, satisfied. He checks the balloons.",,,,,,,,,,,,,,,,"The house turns. Carl looks out the window, satisfied. He checks the balloons.",,,,,,,,,,,,,,,,"The house turns. Carl looks out the window, satisfied. He checks the balloons.",,,,,,,,,,,,,,,
288,Carl kisses a photo of Ellie.,"INT. CARL'S HOUSE, LIVING ROOM",Carl kisses a photo of Ellie.,0,Carl,kisses,kiss,neutral,short,Yes,No,photo of Ellie,,,,,,Carl kisses a photo of Ellie.,,,,,,,,,,,,,,,,Carl kisses a photo of Ellie.,,,,,,,,,,,,,,,,Carl kisses a photo of Ellie.,,,,,,,,,,,,,,,,Carl kisses a photo of Ellie.,,,,,,,,,,,,,,,,Carl kisses a photo of Ellie.,,,,,,,,,,,,,,,,Carl kisses a photo of Ellie.,,,,,,,,,,,,,,,,Carl kisses a photo of Ellie.,,,,,,,,,,,,,,,,Carl kisses a photo of Ellie.,,,,,,,,,,,,,,,,Carl kisses a photo of Ellie.,,,,,,,,,,,,,,,,Carl kisses a photo of Ellie.,,,,,,,,,,,,,,,,Carl kisses a photo of Ellie.,,,,,,,,,,,,,,,
289,The flag on Russell's backpack blows off and falls through the clouds.,"RUSSELL
	I found the snipe and I followed it under your porch, but this snipe had a long tail and looked more like a large mouse.",The flag on Russell's backpack blows off.,0,flag,blows off,fall,slow,neutral,Yes,Yes,,Russell's backpack,,,,,The flag on Russell's backpack blows off and falls through the clouds.,The flag falls through the clouds.,1,flag,falls,fall,neutral,neutral,Yes,Yes,,clouds,,,,,The flag on Russell's backpack blows off and falls through the clouds.,,,,,,,,,,,,,,,,The flag on Russell's backpack blows off and falls through the clouds.,,,,,,,,,,,,,,,,The flag on Russell's backpack blows off and falls through the clouds.,,,,,,,,,,,,,,,,The flag on Russell's backpack blows off and falls through the clouds.,,,,,,,,,,,,,,,,The flag on Russell's backpack blows off and falls through the clouds.,,,,,,,,,,,,,,,,The flag on Russell's backpack blows off and falls through the clouds.,,,,,,,,,,,,,,,,The flag on Russell's backpack blows off and falls through the clouds.,,,,,,,,,,,,,,,,The flag on Russell's backpack blows off and falls through the clouds.,,,,,,,,,,,,,,,,The flag on Russell's backpack blows off and falls through the clouds.,,,,,,,,,,,,,,,,The flag on Russell's backpack blows off and falls through the clouds.,,,,,,,,,,,,,,,
290,"Carl slams the door, leaving Russell alone. Beat. The door opens again.","RUSSELL
	Please let me in?
		CARL
	No.",Carl slams the door.,0,Carl,slams,close,fast ,short,Yes,No,door,,,,,,"Carl slams the door, leaving Russell alone. Beat. The door opens again.",Russell is standing alone.,1,Russell,standing,stand,neutral,neutral,No,No,,,,,alone,,"Carl slams the door, leaving Russell alone. Beat. The door opens again.",The door opens again.,2,door,opens,open,neutral,neutral,Yes,No,,,,,,,"Carl slams the door, leaving Russell alone. Beat. The door opens again.",,,,,,,,,,,,,,,,"Carl slams the door, leaving Russell alone. Beat. The door opens again.",,,,,,,,,,,,,,,,"Carl slams the door, leaving Russell alone. Beat. The door opens again.",,,,,,,,,,,,,,,,"Carl slams the door, leaving Russell alone. Beat. The door opens again.",,,,,,,,,,,,,,,,"Carl slams the door, leaving Russell alone. Beat. The door opens again.",,,,,,,,,,,,,,,,"Carl slams the door, leaving Russell alone. Beat. The door opens again.",,,,,,,,,,,,,,,,"Carl slams the door, leaving Russell alone. Beat. The door opens again.",,,,,,,,,,,,,,,,"Carl slams the door, leaving Russell alone. Beat. The door opens again.",,,,,,,,,,,,,,,,"Carl slams the door, leaving Russell alone. Beat. The door opens again.",,,,,,,,,,,,,,,
291,"Russell PANTS, panicked. He looks into living room.","CARL
	...in. 27.
			INT. CARL'S HOUSE, HALLWAY - CONTINUOUS","Russell pants, panicked.",0,Russell,pants,sneeze,neutral,neutral,Yes,No,,,,,panicked,panic,"Russell PANTS, panicked. He looks into living room.",Russell looks into the living room.,1,Russell,looks,look,neutral,neutral,Yes,No,living room,,,into,,,"Russell PANTS, panicked. He looks into living room.",,,,,,,,,,,,,,,,"Russell PANTS, panicked. He looks into living room.",,,,,,,,,,,,,,,,"Russell PANTS, panicked. He looks into living room.",,,,,,,,,,,,,,,,"Russell PANTS, panicked. He looks into living room.",,,,,,,,,,,,,,,,"Russell PANTS, panicked. He looks into living room.",,,,,,,,,,,,,,,,"Russell PANTS, panicked. He looks into living room.",,,,,,,,,,,,,,,,"Russell PANTS, panicked. He looks into living room.",,,,,,,,,,,,,,,,"Russell PANTS, panicked. He looks into living room.",,,,,,,,,,,,,,,,"Russell PANTS, panicked. He looks into living room.",,,,,,,,,,,,,,,,"Russell PANTS, panicked. He looks into living room.",,,,,,,,,,,,,,,
292,Russell finds Ellie's house drawing sitting on the pages of the open atlas.,"RUSSELL
	Goggles. Look at this stuff!",Russell find Ellie's house drawing.,0,Russell,finds,look,neutral,neutral,Yes,No,house drawing,,,,,,Russell finds Ellie's house drawing sitting on the pages of the open atlas.,The drawing is sitting on the pages of the open atlas.,1,drawing,sitting,sit,neutral,neutral,No,No,pages of open atlas,,,,,,Russell finds Ellie's house drawing sitting on the pages of the open atlas.,,,,,,,,,,,,,,,,Russell finds Ellie's house drawing sitting on the pages of the open atlas.,,,,,,,,,,,,,,,,Russell finds Ellie's house drawing sitting on the pages of the open atlas.,,,,,,,,,,,,,,,,Russell finds Ellie's house drawing sitting on the pages of the open atlas.,,,,,,,,,,,,,,,,Russell finds Ellie's house drawing sitting on the pages of the open atlas.,,,,,,,,,,,,,,,,Russell finds Ellie's house drawing sitting on the pages of the open atlas.,,,,,,,,,,,,,,,,Russell finds Ellie's house drawing sitting on the pages of the open atlas.,,,,,,,,,,,,,,,,Russell finds Ellie's house drawing sitting on the pages of the open atlas.,,,,,,,,,,,,,,,,Russell finds Ellie's house drawing sitting on the pages of the open atlas.,,,,,,,,,,,,,,,,Russell finds Ellie's house drawing sitting on the pages of the open atlas.,,,,,,,,,,,,,,,
293,Russell looks out the window in front of him.,"RUSSELL
	Oh, this makes it go right, and that way's left.
		CARL
	Let go of the knock it off!",Russell looks out the window in front of him.,0,Russell,looks,look,neutral,neutral,No,No,window,,,in front of him,,,Russell looks out the window in front of him.,,,,,,,,,,,,,,,,Russell looks out the window in front of him.,,,,,,,,,,,,,,,,Russell looks out the window in front of him.,,,,,,,,,,,,,,,,Russell looks out the window in front of him.,,,,,,,,,,,,,,,,Russell looks out the window in front of him.,,,,,,,,,,,,,,,,Russell looks out the window in front of him.,,,,,,,,,,,,,,,,Russell looks out the window in front of him.,,,,,,,,,,,,,,,,Russell looks out the window in front of him.,,,,,,,,,,,,,,,,Russell looks out the window in front of him.,,,,,,,,,,,,,,,,Russell looks out the window in front of him.,,,,,,,,,,,,,,,,Russell looks out the window in front of him.,,,,,,,,,,,,,,,
294,That gives Carl an idea.,"RUSSELL
	That building's so close I could almost touch it.",Carl gets an idea.,0,Carl,gets,think,neutral,neutral,No,No,idea,,,,,,That gives Carl an idea.,,,,,,,,,,,,,,,,That gives Carl an idea.,,,,,,,,,,,,,,,,That gives Carl an idea.,,,,,,,,,,,,,,,,That gives Carl an idea.,,,,,,,,,,,,,,,,That gives Carl an idea.,,,,,,,,,,,,,,,,That gives Carl an idea.,,,,,,,,,,,,,,,,That gives Carl an idea.,,,,,,,,,,,,,,,,That gives Carl an idea.,,,,,,,,,,,,,,,,That gives Carl an idea.,,,,,,,,,,,,,,,,That gives Carl an idea.,,,,,,,,,,,,,,,,That gives Carl an idea.,,,,,,,,,,,,,,,
295,Carl stands beside Russell at the window. Russell's fall had been a daydream.,CUT TO:,Carl stands beside Russell at the window.,0,Carl,stands,stand,neutral,neutral,No,No,Russell,,at the window,beside,,,Carl stands beside Russell at the window. Russell's fall had been a daydream.,Carl imagined Russell's fall.,1,Carl,imagined,think,neutral,neutral,No,No,Russells falls,,,,,,Carl stands beside Russell at the window. Russell's fall had been a daydream.,,,,,,,,,,,,,,,,Carl stands beside Russell at the window. Russell's fall had been a daydream.,,,,,,,,,,,,,,,,Carl stands beside Russell at the window. Russell's fall had been a daydream.,,,,,,,,,,,,,,,,Carl stands beside Russell at the window. Russell's fall had been a daydream.,,,,,,,,,,,,,,,,Carl stands beside Russell at the window. Russell's fall had been a daydream.,,,,,,,,,,,,,,,,Carl stands beside Russell at the window. Russell's fall had been a daydream.,,,,,,,,,,,,,,,,Carl stands beside Russell at the window. Russell's fall had been a daydream.,,,,,,,,,,,,,,,,Carl stands beside Russell at the window. Russell's fall had been a daydream.,,,,,,,,,,,,,,,,Carl stands beside Russell at the window. Russell's fall had been a daydream.,,,,,,,,,,,,,,,,Carl stands beside Russell at the window. Russell's fall had been a daydream.,,,,,,,,,,,,,,,
