id,action block 1,context,simplified sentence 1,partial start time 1,owner 1,original action 1,most similar action 1,speed 1,duration 1,rotation 1,translation 1,target 1,prop 1,location modifier 1,direction modifier 1,manner 1,emotion 1,Action Block 2,simplified sentence 2,partial start time 2,owner 2,original action 2,most similar action 2,speed 2,duration 2,rotation 2,translation 2,target 2,prop 2,location modifier 2,direction modifier 2,manner 2,emotion 2,Action Block 3,simplified sentence 3,partial start time 3,owner 3,original action 3,most similar action 3,speed 3,duration 3,rotation 3,translation 3,target 3,prop 3,location modifier 3,direction modifier 3,manner 3,emotion 3,Action Block 4,simplified sentence 4,partial start time 4,owner 4,original action 4,most similar action 4,speed 4,duration 4,rotation 4,translation 4,target 4,prop 4,location modifier 4,direction modifier 4,manner 4,emotion 4,Action Block 5,simplified sentence 5,partial start time 5,owner 5,original action 5,most similar action 5,speed 5,duration 5,rotation 5,translation 5,target 5,prop 5,location modifier 5,direction modifier 5,manner 5,emotion 5,Action Block 6,simplified sentence 6,partial start time 6,owner 6,original action 6,most similar action 6,speed 6,duration 6,rotation 6,translation 6,target 6,prop 6,location modifier 6,direction modifier 6,manner 6,emotion 6,Action Block 7,simplified sentence 7,partial start time 7,owner 7,original action 7,most similar action 7,speed 7,duration 7,rotation 7,translation 7,target 7,prop 7,location modifier 7,direction modifier 7,manner 7,emotion 7,Action Block 8,simplified sentence 8,partial start time 8,owner 8,original action 8,most similar action 8,speed 8,duration 8,rotation 8,translation 8,target 8,prop 8,location modifier 8,direction modifier 8,manner 8,emotion 8,Action Block 9,simplified sentence 9,partial start time 9,owner 9,original action 9,most similar action 9,speed 9,duration 9,rotation 9,translation 9,target 9,prop 9,location modifier 9,direction modifier 9,manner 9,emotion 9,Action Block 10,simplified sentence 10,partial start time 10,owner 10,original action 10,most similar action 10,speed 10,duration 10,rotation 10,translation 10,target 10,prop 10,location modifier 10,direction modifier 10,manner 10,emotion 10,Action Block 11,simplified sentence 11,partial start time 11,owner 11,original action 11,most similar action 11,speed 11,duration 11,rotation 11,translation 11,target 11,prop 11,location modifier 11,direction modifier 11,manner 11,emotion 11,Action Block 12,simplified sentence 12,partial start time 12,owner 12,original action 12,most similar action 12,speed 12,duration 12,rotation 12,translation 12,target 12,prop 12,location modifier 12,direction modifier 12,manner 12,emotion 12
182,Woody shakes Buzz's arm to confirm what he's seeing is real when he looks to the mutants.,"WOODY
	Hey?! Hey, they fixed you!",Woody shakes Buzz's arm.,0,Woody.,Shakes.,wave,neutral,neutral,Yes,No,Buzz's arm.,Null.,Null.,Null.,Null.,Null.,Woody shakes Buzz's arm to confirm what he's seeing is real when he looks to the mutants.,Woody looks to the mutants.,1,Woody.,Looks.,look,neutral,neutral,No,No,Mutants.,Null.,Null.,Towards the mutants.,Null.,Null.,Woody shakes Buzz's arm to confirm what he's seeing is real when he looks to the mutants.,,,,,,,,,,,,,,,,Woody shakes Buzz's arm to confirm what he's seeing is real when he looks to the mutants.,,,,,,,,,,,,,,,,Woody shakes Buzz's arm to confirm what he's seeing is real when he looks to the mutants.,,,,,,,,,,,,,,,,Woody shakes Buzz's arm to confirm what he's seeing is real when he looks to the mutants.,,,,,,,,,,,,,,,,Woody shakes Buzz's arm to confirm what he's seeing is real when he looks to the mutants.,,,,,,,,,,,,,,,,Woody shakes Buzz's arm to confirm what he's seeing is real when he looks to the mutants.,,,,,,,,,,,,,,,,Woody shakes Buzz's arm to confirm what he's seeing is real when he looks to the mutants.,,,,,,,,,,,,,,,,Woody shakes Buzz's arm to confirm what he's seeing is real when he looks to the mutants.,,,,,,,,,,,,,,,,Woody shakes Buzz's arm to confirm what he's seeing is real when he looks to the mutants.,,,,,,,,,,,,,,,,Woody shakes Buzz's arm to confirm what he's seeing is real when he looks to the mutants.,,,,,,,,,,,,,,,
183,"FOOTSTEPS approach the bedroom. Woody tries to pick up the still depressed Buzz, but he just goes limp.","WOODY
	Hey! No, no, wait! Hey! What's wrong?
		SID'S MOM (O.S.)
	Sid!
		SID (O.S.)
	Not now, Mom, I'm BUSY!
		WOODY
	Sid!!!",FOOTSTEPS approach the bedroom.,0,Sid.,Approach.,go,neutral,neutral,Yes,No,Bedroom.,Null.,Null.,Towards the bedroom.,Null.,Null.,"FOOTSTEPS approach the bedroom. Woody tries to pick up the still depressed Buzz, but he just goes limp.",Woody picks up the still depressed Buzz.,0,Woody.,Picks.,pick,neutral,neutral,Yes,No,Buzz.,Null.,Inside the bedroom.,Up.,Trying (Woody).,Depressed (Buzz).,"FOOTSTEPS approach the bedroom. Woody tries to pick up the still depressed Buzz, but he just goes limp.",Buzz goes limp.,1,Buzz.,Goes.,,neutral,neutral,Yes,No,Null.,Null.,Inside the bedroom.,Null.,Null.,Depressed.,"FOOTSTEPS approach the bedroom. Woody tries to pick up the still depressed Buzz, but he just goes limp.",,,,,,,,,,,,,,,,"FOOTSTEPS approach the bedroom. Woody tries to pick up the still depressed Buzz, but he just goes limp.",,,,,,,,,,,,,,,,"FOOTSTEPS approach the bedroom. Woody tries to pick up the still depressed Buzz, but he just goes limp.",,,,,,,,,,,,,,,,"FOOTSTEPS approach the bedroom. Woody tries to pick up the still depressed Buzz, but he just goes limp.",,,,,,,,,,,,,,,,"FOOTSTEPS approach the bedroom. Woody tries to pick up the still depressed Buzz, but he just goes limp.",,,,,,,,,,,,,,,,"FOOTSTEPS approach the bedroom. Woody tries to pick up the still depressed Buzz, but he just goes limp.",,,,,,,,,,,,,,,,"FOOTSTEPS approach the bedroom. Woody tries to pick up the still depressed Buzz, but he just goes limp.",,,,,,,,,,,,,,,,"FOOTSTEPS approach the bedroom. Woody tries to pick up the still depressed Buzz, but he just goes limp.",,,,,,,,,,,,,,,,"FOOTSTEPS approach the bedroom. Woody tries to pick up the still depressed Buzz, but he just goes limp.",,,,,,,,,,,,,,,
184,Woody leaves Buzz sitting alone in the middle of the floor and hides underneath a nearby milkcrate just as... Sid enters carrying a big box.,"WOODY
	Fine. Let Sid trash you. But don't blame me.",Woody leaves Buzz.,0,Woody.,Leaves.,go,neutral,neutral,Yes,Yes,Buzz.,Null.,Null.,Null.,Null.,Null.,Woody leaves Buzz sitting alone in the middle of the floor and hides underneath a nearby milkcrate just as... Sid enters carrying a big box.,Buzz sits alone in the middle of the floor.,0,Buzz.,Sits.,sit,neutral,neutral,No,No,Null.,Null.,In the middle of the floor.,Null.,Alone.,Null.,Woody leaves Buzz sitting alone in the middle of the floor and hides underneath a nearby milkcrate just as... Sid enters carrying a big box.,Woody hides underneath a nearby milkcrate.,1,Woody.,Hides.,duck,neutral,neutral,No,No,Milkcrate.,Null.,Null.,Underneath a nearby milkcrate.,Null.,Null.,Woody leaves Buzz sitting alone in the middle of the floor and hides underneath a nearby milkcrate just as... Sid enters carrying a big box.,Sid enters with a big box.,1,Sid.,Enters.,,neutral,neutral,Yes,Yes,Null.,Big box.,Null.,Null.,Null.,Null.,Woody leaves Buzz sitting alone in the middle of the floor and hides underneath a nearby milkcrate just as... Sid enters carrying a big box.,,,,,,,,,,,,,,,,Woody leaves Buzz sitting alone in the middle of the floor and hides underneath a nearby milkcrate just as... Sid enters carrying a big box.,,,,,,,,,,,,,,,,Woody leaves Buzz sitting alone in the middle of the floor and hides underneath a nearby milkcrate just as... Sid enters carrying a big box.,,,,,,,,,,,,,,,,Woody leaves Buzz sitting alone in the middle of the floor and hides underneath a nearby milkcrate just as... Sid enters carrying a big box.,,,,,,,,,,,,,,,,Woody leaves Buzz sitting alone in the middle of the floor and hides underneath a nearby milkcrate just as... Sid enters carrying a big box.,,,,,,,,,,,,,,,,Woody leaves Buzz sitting alone in the middle of the floor and hides underneath a nearby milkcrate just as... Sid enters carrying a big box.,,,,,,,,,,,,,,,,Woody leaves Buzz sitting alone in the middle of the floor and hides underneath a nearby milkcrate just as... Sid enters carrying a big box.,,,,,,,,,,,,,,,,Woody leaves Buzz sitting alone in the middle of the floor and hides underneath a nearby milkcrate just as... Sid enters carrying a big box.,,,,,,,,,,,,,,,
185,Sid runs over to his workbench and rips open the box.,"SID
	It came! It finally came!",Sid runs over to Sid's workbench.,0,Sid.,Runs.,go,fast ,short,Yes,Yes,Workbench.,Big box.,Null.,Towards Sid's workbench.,Null.,Null.,Sid runs over to his workbench and rips open the box.,Sid opens the box.,1,Sid.,Opens.,open,fast ,short,Yes,No,Big box.,Null.,On Sid's workbench.,Null.,Null.,Null.,Sid runs over to his workbench and rips open the box.,,,,,,,,,,,,,,,,Sid runs over to his workbench and rips open the box.,,,,,,,,,,,,,,,,Sid runs over to his workbench and rips open the box.,,,,,,,,,,,,,,,,Sid runs over to his workbench and rips open the box.,,,,,,,,,,,,,,,,Sid runs over to his workbench and rips open the box.,,,,,,,,,,,,,,,,Sid runs over to his workbench and rips open the box.,,,,,,,,,,,,,,,,Sid runs over to his workbench and rips open the box.,,,,,,,,,,,,,,,,Sid runs over to his workbench and rips open the box.,,,,,,,,,,,,,,,,Sid runs over to his workbench and rips open the box.,,,,,,,,,,,,,,,,Sid runs over to his workbench and rips open the box.,,,,,,,,,,,,,,,
186,He pulls out a rocket with 'THE BIG ONE' written on it.,"SID
reverently
	The big one.",SID pulls out a rocket.,0,SID.,Pulls.,,neutral,neutral,Yes,No,Rocket with 'THE BIG ONE' written on it.,Null.,Null.,Out of the box.,Null.,Null.,He pulls out a rocket with 'THE BIG ONE' written on it.,,,,,,,,,,,,,,,,He pulls out a rocket with 'THE BIG ONE' written on it.,,,,,,,,,,,,,,,,He pulls out a rocket with 'THE BIG ONE' written on it.,,,,,,,,,,,,,,,,He pulls out a rocket with 'THE BIG ONE' written on it.,,,,,,,,,,,,,,,,He pulls out a rocket with 'THE BIG ONE' written on it.,,,,,,,,,,,,,,,,He pulls out a rocket with 'THE BIG ONE' written on it.,,,,,,,,,,,,,,,,He pulls out a rocket with 'THE BIG ONE' written on it.,,,,,,,,,,,,,,,,He pulls out a rocket with 'THE BIG ONE' written on it.,,,,,,,,,,,,,,,,He pulls out a rocket with 'THE BIG ONE' written on it.,,,,,,,,,,,,,,,,He pulls out a rocket with 'THE BIG ONE' written on it.,,,,,,,,,,,,,,,,He pulls out a rocket with 'THE BIG ONE' written on it.,,,,,,,,,,,,,,,
187,Sid spots the milkcrate and picks it up. No Woody.,"SID
reading the rocket label
	'Extremely dangerous. Keep out of reach of children.' COOL...
looks around
	What am I gonna blow? Man...hey, where's that wimpy cowboy doll?",Sid spots the milkcrate.,0,Sid.,Spots.,look,neutral,neutral,No,No,Milkcrate.,Null.,Null.,Null.,Null.,Null.,Sid spots the milkcrate and picks it up. No Woody.,Sid picks up the milkcrate. No Woody.,1,Sid.,Picks.,pick,neutral,short,Yes,No,Empty milkcrate.,Null.,Null.,Up.,Null.,Null.,Sid spots the milkcrate and picks it up. No Woody.,,,,,,,,,,,,,,,,Sid spots the milkcrate and picks it up. No Woody.,,,,,,,,,,,,,,,,Sid spots the milkcrate and picks it up. No Woody.,,,,,,,,,,,,,,,,Sid spots the milkcrate and picks it up. No Woody.,,,,,,,,,,,,,,,,Sid spots the milkcrate and picks it up. No Woody.,,,,,,,,,,,,,,,,Sid spots the milkcrate and picks it up. No Woody.,,,,,,,,,,,,,,,,Sid spots the milkcrate and picks it up. No Woody.,,,,,,,,,,,,,,,,Sid spots the milkcrate and picks it up. No Woody.,,,,,,,,,,,,,,,,Sid spots the milkcrate and picks it up. No Woody.,,,,,,,,,,,,,,,,Sid spots the milkcrate and picks it up. No Woody.,,,,,,,,,,,,,,,
188,Woody heaves a SIGH of relief. Suddenly Sid's face brightens. He turns his focus from the rain to the Buzzrocket.,"SID
	Aw, man...!",Woody heaves a SIGH of relief.,0,Woody.,Heaves.,,neutral,short,Yes,No,Null.,Null.,Null.,Null.,Relief.,Null.,Woody heaves a SIGH of relief. Suddenly Sid's face brightens. He turns his focus from the rain to the Buzzrocket.,Suddenly Sid's face brightens.,1,Sid.,Brightens.,,fast ,short,Yes,No,Sid's face.,Null.,Null.,Null.,Suddenly.,Null.,Woody heaves a SIGH of relief. Suddenly Sid's face brightens. He turns his focus from the rain to the Buzzrocket.,Sid turns Sid's focus from the rain to the Buzzrocket.,2,Sid.,Turns.,turn,neutral,short,Yes,No,Buzzrocket.,Rain.,Null.,To the Buzzrocket.,Null.,Null.,Woody heaves a SIGH of relief. Suddenly Sid's face brightens. He turns his focus from the rain to the Buzzrocket.,,,,,,,,,,,,,,,,Woody heaves a SIGH of relief. Suddenly Sid's face brightens. He turns his focus from the rain to the Buzzrocket.,,,,,,,,,,,,,,,,Woody heaves a SIGH of relief. Suddenly Sid's face brightens. He turns his focus from the rain to the Buzzrocket.,,,,,,,,,,,,,,,,Woody heaves a SIGH of relief. Suddenly Sid's face brightens. He turns his focus from the rain to the Buzzrocket.,,,,,,,,,,,,,,,,Woody heaves a SIGH of relief. Suddenly Sid's face brightens. He turns his focus from the rain to the Buzzrocket.,,,,,,,,,,,,,,,,Woody heaves a SIGH of relief. Suddenly Sid's face brightens. He turns his focus from the rain to the Buzzrocket.,,,,,,,,,,,,,,,,Woody heaves a SIGH of relief. Suddenly Sid's face brightens. He turns his focus from the rain to the Buzzrocket.,,,,,,,,,,,,,,,,Woody heaves a SIGH of relief. Suddenly Sid's face brightens. He turns his focus from the rain to the Buzzrocket.,,,,,,,,,,,,,,,,Woody heaves a SIGH of relief. Suddenly Sid's face brightens. He turns his focus from the rain to the Buzzrocket.,,,,,,,,,,,,,,,
189,"Andy's eyes shut. Mom turns out the light and quietly exits the room. A moving box on the floor, with the words 'Andy's Toys!' scrawled on it, begins to shake from side to side.","MRS. DAVIS
	I looked everywhere, honey, but all I could find was your hat.
		ANDY
groggy
	But what if we leave them behind?
		MRS. DAVIS
	Oh, don't worry, honey, I'm sure we'll find Woody and Buzz before we leave tomorrow.",Andy's eyes shut.,0,Andy.,Shut.,close,neutral,short,Yes,No,Andy's eyes.,Null.,Inside the room.,Null.,Null.,Null.,"Andy's eyes shut. Mom turns out the light and quietly exits the room. A moving box on the floor, with the words 'Andy's Toys!' scrawled on it, begins to shake from side to side.",Mom turns out the light.,1,Mom.,Turns.,turn,fast ,short,Yes,No,Light.,Null.,Inside the bedroom.,Null.,Null.,Null.,"Andy's eyes shut. Mom turns out the light and quietly exits the room. A moving box on the floor, with the words 'Andy's Toys!' scrawled on it, begins to shake from side to side.",Mom quietly exits the room.,1,Mom.,Exits.,go,neutral,neutral,Yes,Yes,Null.,Null.,Null.,Out of the room.,Quietly.,Null.,"Andy's eyes shut. Mom turns out the light and quietly exits the room. A moving box on the floor, with the words 'Andy's Toys!' scrawled on it, begins to shake from side to side.",A moving box on the floor shakes from side to side.,2,Box.,Shakes.,wave,neutral,neutral,Yes,No,Null.,Box with the words 'Andy's Toys!' scrawled on it.,On the floor.,Side to side.,Null.,Null.,"Andy's eyes shut. Mom turns out the light and quietly exits the room. A moving box on the floor, with the words 'Andy's Toys!' scrawled on it, begins to shake from side to side.",,,,,,,,,,,,,,,,"Andy's eyes shut. Mom turns out the light and quietly exits the room. A moving box on the floor, with the words 'Andy's Toys!' scrawled on it, begins to shake from side to side.",,,,,,,,,,,,,,,,"Andy's eyes shut. Mom turns out the light and quietly exits the room. A moving box on the floor, with the words 'Andy's Toys!' scrawled on it, begins to shake from side to side.",,,,,,,,,,,,,,,,"Andy's eyes shut. Mom turns out the light and quietly exits the room. A moving box on the floor, with the words 'Andy's Toys!' scrawled on it, begins to shake from side to side.",,,,,,,,,,,,,,,,"Andy's eyes shut. Mom turns out the light and quietly exits the room. A moving box on the floor, with the words 'Andy's Toys!' scrawled on it, begins to shake from side to side.",,,,,,,,,,,,,,,,"Andy's eyes shut. Mom turns out the light and quietly exits the room. A moving box on the floor, with the words 'Andy's Toys!' scrawled on it, begins to shake from side to side.",,,,,,,,,,,,,,,,"Andy's eyes shut. Mom turns out the light and quietly exits the room. A moving box on the floor, with the words 'Andy's Toys!' scrawled on it, begins to shake from side to side.",,,,,,,,,,,,,,,,"Andy's eyes shut. Mom turns out the light and quietly exits the room. A moving box on the floor, with the words 'Andy's Toys!' scrawled on it, begins to shake from side to side.",,,,,,,,,,,,,,,
190,"Sid is in bed fast asleep. Woody struggles to move his milkcrate jail, but with the weight of the toolbox on top it won't budge. Woody looks across the desktop at Buzz sitting dejectedly with the rocket strapped to his back.",INT. SID'S ROOM,Sid is in bed fast asleep.,0,Sid.,Asleep.,sleep,neutral,neutral,No,No,Bed.,Null.,SID'S ROOM.,In bed.,Null.,Null.,"Sid is in bed fast asleep. Woody struggles to move his milkcrate jail, but with the weight of the toolbox on top it won't budge. Woody looks across the desktop at Buzz sitting dejectedly with the rocket strapped to his back.",Woody struggles to move Woody's milkcrate jail.,1,Woody.,Struggles.,,neutral,neutral,Yes,No,Milkcrate.,Toolbox on top of the milkcrate.,Null.,Null.,Struggles.,Null.,"Sid is in bed fast asleep. Woody struggles to move his milkcrate jail, but with the weight of the toolbox on top it won't budge. Woody looks across the desktop at Buzz sitting dejectedly with the rocket strapped to his back.",Woody looks across the desktop at Buzz.,2,Woody.,Looks.,look,neutral,neutral,No,No,Buzz.,Null.,Null.,Across the desktop.,Null.,Null.,"Sid is in bed fast asleep. Woody struggles to move his milkcrate jail, but with the weight of the toolbox on top it won't budge. Woody looks across the desktop at Buzz sitting dejectedly with the rocket strapped to his back.",Buzz sits dejectedly with the rocket on Buzz's back.,2,Buzz.,Sits.,sit,neutral,neutral,No,No,Null.,Rocket strapped to Buzz's back.,Null.,Null.,Dejectedly.,Null.,"Sid is in bed fast asleep. Woody struggles to move his milkcrate jail, but with the weight of the toolbox on top it won't budge. Woody looks across the desktop at Buzz sitting dejectedly with the rocket strapped to his back.",,,,,,,,,,,,,,,,"Sid is in bed fast asleep. Woody struggles to move his milkcrate jail, but with the weight of the toolbox on top it won't budge. Woody looks across the desktop at Buzz sitting dejectedly with the rocket strapped to his back.",,,,,,,,,,,,,,,,"Sid is in bed fast asleep. Woody struggles to move his milkcrate jail, but with the weight of the toolbox on top it won't budge. Woody looks across the desktop at Buzz sitting dejectedly with the rocket strapped to his back.",,,,,,,,,,,,,,,,"Sid is in bed fast asleep. Woody struggles to move his milkcrate jail, but with the weight of the toolbox on top it won't budge. Woody looks across the desktop at Buzz sitting dejectedly with the rocket strapped to his back.",,,,,,,,,,,,,,,,"Sid is in bed fast asleep. Woody struggles to move his milkcrate jail, but with the weight of the toolbox on top it won't budge. Woody looks across the desktop at Buzz sitting dejectedly with the rocket strapped to his back.",,,,,,,,,,,,,,,,"Sid is in bed fast asleep. Woody struggles to move his milkcrate jail, but with the weight of the toolbox on top it won't budge. Woody looks across the desktop at Buzz sitting dejectedly with the rocket strapped to his back.",,,,,,,,,,,,,,,,"Sid is in bed fast asleep. Woody struggles to move his milkcrate jail, but with the weight of the toolbox on top it won't budge. Woody looks across the desktop at Buzz sitting dejectedly with the rocket strapped to his back.",,,,,,,,,,,,,,,,"Sid is in bed fast asleep. Woody struggles to move his milkcrate jail, but with the weight of the toolbox on top it won't budge. Woody looks across the desktop at Buzz sitting dejectedly with the rocket strapped to his back.",,,,,,,,,,,,,,,
191,"No reaction from Buzz. Woody picks up a stray washer from the desktop and flings it at Buzz, striking his helmet. Buzz lifts his head and turns lifelessly to look at Woody.","WOODY
	Ps-s-s-s-t! Psst! Hey, Buzz!",Woody picks up a stray washer from the desktop.,0,Woody.,Picks.,pick,neutral,short,Yes,No,Desktop.,Stray washer.,Null.,From the desktop.,Null.,Null.,"No reaction from Buzz. Woody picks up a stray washer from the desktop and flings it at Buzz, striking his helmet. Buzz lifts his head and turns lifelessly to look at Woody.",Woody flings the stray washer at Buzz.,1,Woody.,Flings.,throw,fast ,neutral,Yes,Yes,Buzz.,Stray washer.,Null.,To Buzz.,Null.,Null.,"No reaction from Buzz. Woody picks up a stray washer from the desktop and flings it at Buzz, striking his helmet. Buzz lifts his head and turns lifelessly to look at Woody.",The stray washer strikes Buzz's helmet.,2,Washer.,Strikes.,hit,fast ,short,Yes,Yes,Buzz's helmet.,Null.,Null.,Null.,Null.,Null.,"No reaction from Buzz. Woody picks up a stray washer from the desktop and flings it at Buzz, striking his helmet. Buzz lifts his head and turns lifelessly to look at Woody.",Buzz lifts Buzz's head.,3,Buzz.,Lifts.,,neutral,neutral,Yes,No,Buzz's head.,Null.,Null.,Up.,Null.,Null.,"No reaction from Buzz. Woody picks up a stray washer from the desktop and flings it at Buzz, striking his helmet. Buzz lifts his head and turns lifelessly to look at Woody.",Buzz turns lifelessly.,4,Buzz.,Turns.,turn,slow,neutral,Yes,No,Woody.,Null.,Null.,Towards Woody.,Lifelessly.,Null.,"No reaction from Buzz. Woody picks up a stray washer from the desktop and flings it at Buzz, striking his helmet. Buzz lifts his head and turns lifelessly to look at Woody.",Buzz looks at Woody.,4,Buzz.,Looks.,look,neutral,neutral,No,No,Woody.,Null.,Null.,Null.,Lifelessly.,Null.,"No reaction from Buzz. Woody picks up a stray washer from the desktop and flings it at Buzz, striking his helmet. Buzz lifts his head and turns lifelessly to look at Woody.",,,,,,,,,,,,,,,,"No reaction from Buzz. Woody picks up a stray washer from the desktop and flings it at Buzz, striking his helmet. Buzz lifts his head and turns lifelessly to look at Woody.",,,,,,,,,,,,,,,,"No reaction from Buzz. Woody picks up a stray washer from the desktop and flings it at Buzz, striking his helmet. Buzz lifts his head and turns lifelessly to look at Woody.",,,,,,,,,,,,,,,,"No reaction from Buzz. Woody picks up a stray washer from the desktop and flings it at Buzz, striking his helmet. Buzz lifts his head and turns lifelessly to look at Woody.",,,,,,,,,,,,,,,,"No reaction from Buzz. Woody picks up a stray washer from the desktop and flings it at Buzz, striking his helmet. Buzz lifts his head and turns lifelessly to look at Woody.",,,,,,,,,,,,,,,,"No reaction from Buzz. Woody picks up a stray washer from the desktop and flings it at Buzz, striking his helmet. Buzz lifts his head and turns lifelessly to look at Woody.",,,,,,,,,,,,,,,
192,Buzz just looks away from Woody and bows his head.,"WOODY
	Hey! Get over here and see if you can get this tool box off me.",Buzz looks away from Woody.,0,Buzz.,Looks.,look,neutral,neutral,Yes,No,Woody.,Null.,Null.,Away from Woody.,Null.,Null.,Buzz just looks away from Woody and bows his head.,Buzz bows Buzz's head.,1,Buzz.,Bows.,duck,neutral,short,Yes,No,Buzz's head.,Null.,Null.,Down.,Null.,Null.,Buzz just looks away from Woody and bows his head.,,,,,,,,,,,,,,,,Buzz just looks away from Woody and bows his head.,,,,,,,,,,,,,,,,Buzz just looks away from Woody and bows his head.,,,,,,,,,,,,,,,,Buzz just looks away from Woody and bows his head.,,,,,,,,,,,,,,,,Buzz just looks away from Woody and bows his head.,,,,,,,,,,,,,,,,Buzz just looks away from Woody and bows his head.,,,,,,,,,,,,,,,,Buzz just looks away from Woody and bows his head.,,,,,,,,,,,,,,,,Buzz just looks away from Woody and bows his head.,,,,,,,,,,,,,,,,Buzz just looks away from Woody and bows his head.,,,,,,,,,,,,,,,,Buzz just looks away from Woody and bows his head.,,,,,,,,,,,,,,,
193,Woody pauses and looks at himself.,"WOODY
	Oh, come on, Buzz. I...Buzz, I can't do this without you. I need your help.
		BUZZ
	I can't help. I can't help anyone.
		WOODY
	Why, sure you can, Buzz. You can get me out of here and then I'll get that rocket off you, and we'll make a break for Andy's house.
		BUZZ
	Andy's house. Sid's house. What's the difference.
		WOODY
	Oh, Buzz, you've had a big fall. You must not be thinking clearly.
		BUZZ
	No, Woody, for the first time I am thinking clearly.
looking at himself
	You were right all along. I'm not a Space Ranger. I'm just a toy. A stupid little insignificant toy.
		WOODY
	Whoa, hey wait a minute. Being a toy is a lot better than being a Space Ranger.
		BUZZ
	Yeah, right.
		WOODY
	No, it is. Look, over in that house is a kid who thinks you are the greatest, and it's not because you're a Space Ranger, pal, it's because you're a TOY! You are HIS toy.
		BUZZ
	But why would Andy want me?
		WOODY
	Why would Andy want you?! Look at you! You're a Buzz Lightyear. Any other toy would give up his moving parts just to be you. You've got wings, you glow in the dark, you talk, your helmet does that that whoosh thing you are a COOL toy.",Woody pauses.,0,Woody.,Pauses.,,neutral,neutral,No,No,Null.,Null.,Null.,Null.,Null.,Null.,Woody pauses and looks at himself.,Woody looks at Woody.,0,Woody.,Looks.,look,neutral,neutral,No,No,Woody.,Null.,Null.,Null.,Null.,Null.,Woody pauses and looks at himself.,,,,,,,,,,,,,,,,Woody pauses and looks at himself.,,,,,,,,,,,,,,,,Woody pauses and looks at himself.,,,,,,,,,,,,,,,,Woody pauses and looks at himself.,,,,,,,,,,,,,,,,Woody pauses and looks at himself.,,,,,,,,,,,,,,,,Woody pauses and looks at himself.,,,,,,,,,,,,,,,,Woody pauses and looks at himself.,,,,,,,,,,,,,,,,Woody pauses and looks at himself.,,,,,,,,,,,,,,,,Woody pauses and looks at himself.,,,,,,,,,,,,,,,,Woody pauses and looks at himself.,,,,,,,,,,,,,,,
194,The signature 'ANDY' reads through the dirt and scuff marks. Buzz gazes back at Woody. A look of determination spreads across his face.,ANGLE: THE SOLE OF BUZZ'S FOOT,The signature 'ANDY' reads through the dirt and scuff marks.,0,Signature 'ANDY'.,Reads.,read,neutral,neutral,No,No,Buzz's foot.,Null.,THE SOLE OF BUZZ'S FOOT.,THE SOLE OF BUZZ'S FOOT.,Null.,Null.,The signature 'ANDY' reads through the dirt and scuff marks. Buzz gazes back at Woody. A look of determination spreads across his face.,Buzz gazes back at Woody.,1,Buzz.,Gazes.,look,neutral,neutral,No,No,Woody.,Null.,Null.,Back at Woody.,Null.,Null.,The signature 'ANDY' reads through the dirt and scuff marks. Buzz gazes back at Woody. A look of determination spreads across his face.,A look of determination spreads across Buzz's face.,2,Buzz.,Spreads.,,neutral,neutral,Yes,No,Buzz's face.,Null.,Null.,Across Buzz's face.,Determination.,Null.,The signature 'ANDY' reads through the dirt and scuff marks. Buzz gazes back at Woody. A look of determination spreads across his face.,,,,,,,,,,,,,,,,The signature 'ANDY' reads through the dirt and scuff marks. Buzz gazes back at Woody. A look of determination spreads across his face.,,,,,,,,,,,,,,,,The signature 'ANDY' reads through the dirt and scuff marks. Buzz gazes back at Woody. A look of determination spreads across his face.,,,,,,,,,,,,,,,,The signature 'ANDY' reads through the dirt and scuff marks. Buzz gazes back at Woody. A look of determination spreads across his face.,,,,,,,,,,,,,,,,The signature 'ANDY' reads through the dirt and scuff marks. Buzz gazes back at Woody. A look of determination spreads across his face.,,,,,,,,,,,,,,,,The signature 'ANDY' reads through the dirt and scuff marks. Buzz gazes back at Woody. A look of determination spreads across his face.,,,,,,,,,,,,,,,,The signature 'ANDY' reads through the dirt and scuff marks. Buzz gazes back at Woody. A look of determination spreads across his face.,,,,,,,,,,,,,,,,The signature 'ANDY' reads through the dirt and scuff marks. Buzz gazes back at Woody. A look of determination spreads across his face.,,,,,,,,,,,,,,,,The signature 'ANDY' reads through the dirt and scuff marks. Buzz gazes back at Woody. A look of determination spreads across his face.,,,,,,,,,,,,,,,
