id,action block 1,context,simplified sentence 1,partial start time 1,owner 1,original action 1,most similar action 1,speed 1,duration 1,rotation 1,translation 1,target 1,prop 1,location modifier 1,direction modifier 1,manner 1,emotion 1,Action Block 2,simplified sentence 2,partial start time 2,owner 2,original action 2,most similar action 2,speed 2,duration 2,rotation 2,translation 2,target 2,prop 2,location modifier 2,direction modifier 2,manner 2,emotion 2,Action Block 3,simplified sentence 3,partial start time 3,owner 3,original action 3,most similar action 3,speed 3,duration 3,rotation 3,translation 3,target 3,prop 3,location modifier 3,direction modifier 3,manner 3,emotion 3,Action Block 4,simplified sentence 4,partial start time 4,owner 4,original action 4,most similar action 4,speed 4,duration 4,rotation 4,translation 4,target 4,prop 4,location modifier 4,direction modifier 4,manner 4,emotion 4,Action Block 5,simplified sentence 5,partial start time 5,owner 5,original action 5,most similar action 5,speed 5,duration 5,rotation 5,translation 5,target 5,prop 5,location modifier 5,direction modifier 5,manner 5,emotion 5,Action Block 6,simplified sentence 6,partial start time 6,owner 6,original action 6,most similar action 6,speed 6,duration 6,rotation 6,translation 6,target 6,prop 6,location modifier 6,direction modifier 6,manner 6,emotion 6,Action Block 7,simplified sentence 7,partial start time 7,owner 7,original action 7,most similar action 7,speed 7,duration 7,rotation 7,translation 7,target 7,prop 7,location modifier 7,direction modifier 7,manner 7,emotion 7,Action Block 8,simplified sentence 8,partial start time 8,owner 8,original action 8,most similar action 8,speed 8,duration 8,rotation 8,translation 8,target 8,prop 8,location modifier 8,direction modifier 8,manner 8,emotion 8,Action Block 9,simplified sentence 9,partial start time 9,owner 9,original action 9,most similar action 9,speed 9,duration 9,rotation 9,translation 9,target 9,prop 9,location modifier 9,direction modifier 9,manner 9,emotion 9,Action Block 10,simplified sentence 10,partial start time 10,owner 10,original action 10,most similar action 10,speed 10,duration 10,rotation 10,translation 10,target 10,prop 10,location modifier 10,direction modifier 10,manner 10,emotion 10,Action Block 11,simplified sentence 11,partial start time 11,owner 11,original action 11,most similar action 11,speed 11,duration 11,rotation 11,translation 11,target 11,prop 11,location modifier 11,direction modifier 11,manner 11,emotion 11,Action Block 12,simplified sentence 12,partial start time 12,owner 12,original action 12,most similar action 12,speed 12,duration 12,rotation 12,translation 12,target 12,prop 12,location modifier 12,direction modifier 12,manner 12,emotion 12
199,"Sid jumps out of bed, grabs Buzz and bolts out of the room.","SID
	Oh, yeah! Time for lift-off!",Sid jumps out of bed,0,Sid,jumps,jump,fast ,short,Yes,No,bed,null,bed,out of,null,null,"Sid jumps out of bed, grabs Buzz and bolts out of the room.",Sid grabs Buzz,1,Sid,grabs,collect,fast ,short,Yes,No,Buzz,null,null,null,null,null,"Sid jumps out of bed, grabs Buzz and bolts out of the room.",Sid bolts out of the room,2,Sid,bolts,goForward,fast ,short,Yes,Yes,room,null,room,out,null,null,"Sid jumps out of bed, grabs Buzz and bolts out of the room.",,,,,,,,,,,,,,,,"Sid jumps out of bed, grabs Buzz and bolts out of the room.",,,,,,,,,,,,,,,,"Sid jumps out of bed, grabs Buzz and bolts out of the room.",,,,,,,,,,,,,,,,"Sid jumps out of bed, grabs Buzz and bolts out of the room.",,,,,,,,,,,,,,,,"Sid jumps out of bed, grabs Buzz and bolts out of the room.",,,,,,,,,,,,,,,,"Sid jumps out of bed, grabs Buzz and bolts out of the room.",,,,,,,,,,,,,,,,"Sid jumps out of bed, grabs Buzz and bolts out of the room.",,,,,,,,,,,,,,,,"Sid jumps out of bed, grabs Buzz and bolts out of the room.",,,,,,,,,,,,,,,,"Sid jumps out of bed, grabs Buzz and bolts out of the room.",,,,,,,,,,,,,,,
200,"Woody leaps to his feet, runs across the room, and catches the door just before it closes. As he swings the door back open Woody is confronted by...","SID (O.S.)
	TO INFINITY AND BEYOND!!",Woody leaps to his feet,0,Woody,leaps,fall,slow,long,Yes,No,feet,null,null,to feet,null,null,"Woody leaps to his feet, runs across the room, and catches the door just before it closes. As he swings the door back open Woody is confronted by...",Woody runs across the room,1,Woody,runs,goForward,fast ,short,Yes,Yes,room,null,room,across,null,null,"Woody leaps to his feet, runs across the room, and catches the door just before it closes. As he swings the door back open Woody is confronted by...",Woody catches the door,2,Woody,catches,touch,fast ,short,Yes,No,door,null,null,null,null,null,"Woody leaps to his feet, runs across the room, and catches the door just before it closes. As he swings the door back open Woody is confronted by...",he swings the door back open,3,Woody,swings,swing,slow,long,Yes,No,door,null,null,null,null,null,"Woody leaps to his feet, runs across the room, and catches the door just before it closes. As he swings the door back open Woody is confronted by...",,,,,,,,,,,,,,,,"Woody leaps to his feet, runs across the room, and catches the door just before it closes. As he swings the door back open Woody is confronted by...",,,,,,,,,,,,,,,,"Woody leaps to his feet, runs across the room, and catches the door just before it closes. As he swings the door back open Woody is confronted by...",,,,,,,,,,,,,,,,"Woody leaps to his feet, runs across the room, and catches the door just before it closes. As he swings the door back open Woody is confronted by...",,,,,,,,,,,,,,,,"Woody leaps to his feet, runs across the room, and catches the door just before it closes. As he swings the door back open Woody is confronted by...",,,,,,,,,,,,,,,,"Woody leaps to his feet, runs across the room, and catches the door just before it closes. As he swings the door back open Woody is confronted by...",,,,,,,,,,,,,,,,"Woody leaps to his feet, runs across the room, and catches the door just before it closes. As he swings the door back open Woody is confronted by...",,,,,,,,,,,,,,,,"Woody leaps to his feet, runs across the room, and catches the door just before it closes. As he swings the door back open Woody is confronted by...",,,,,,,,,,,,,,,
201,Woody looks across the room.,"WOODY
out of breath; to himself
	Okay, what do I do? Come on Woody, think!",Woody looks across the room,0,Woody,looks,look,neutral,neutral,No,No,room,null,room,across,null,null,Woody looks across the room.,,,,,,,,,,,,,,,,Woody looks across the room.,,,,,,,,,,,,,,,,Woody looks across the room.,,,,,,,,,,,,,,,,Woody looks across the room.,,,,,,,,,,,,,,,,Woody looks across the room.,,,,,,,,,,,,,,,,Woody looks across the room.,,,,,,,,,,,,,,,,Woody looks across the room.,,,,,,,,,,,,,,,,Woody looks across the room.,,,,,,,,,,,,,,,,Woody looks across the room.,,,,,,,,,,,,,,,,Woody looks across the room.,,,,,,,,,,,,,,,,Woody looks across the room.,,,,,,,,,,,,,,,
202,"Babyface crawls out and bangs in code on the side of Sid's metal bedpost. The mutant toys emerge from the shadows, and gather around Woody. He kneels down into a huddle with them.","WOODY
	Please. He's my friend. He's the only one I've got.",Babyface crawls out,0,Babyface,crawls,crawl,slow,long,Yes,Yes,null,null,null,out,null,null,"Babyface crawls out and bangs in code on the side of Sid's metal bedpost. The mutant toys emerge from the shadows, and gather around Woody. He kneels down into a huddle with them.",Babyface bangs in code on the side of Sid's metal bedpost,1,Babyface,bangs,hit,fast ,short,Yes,No,bedpost,null,on the side of Sid's bedpost,null,in code,null,"Babyface crawls out and bangs in code on the side of Sid's metal bedpost. The mutant toys emerge from the shadows, and gather around Woody. He kneels down into a huddle with them.",the mutant toys emerge from the shadows,2,mutant toys,emerge,go,neutral,neutral,Yes,Yes,shadows,null,null,from shadows,null,null,"Babyface crawls out and bangs in code on the side of Sid's metal bedpost. The mutant toys emerge from the shadows, and gather around Woody. He kneels down into a huddle with them.",The mutant toys gather around Woody,3,mutant toys,gather,collect,neutral,neutral,Yes,No,Woody,null,null,around,null,null,"Babyface crawls out and bangs in code on the side of Sid's metal bedpost. The mutant toys emerge from the shadows, and gather around Woody. He kneels down into a huddle with them.",He kneels into a huddle with them,4,Woody,kneels,crawl,neutral,neutral,No,No,huddle,mutant toys,null,null,null,null,"Babyface crawls out and bangs in code on the side of Sid's metal bedpost. The mutant toys emerge from the shadows, and gather around Woody. He kneels down into a huddle with them.",,,,,,,,,,,,,,,,"Babyface crawls out and bangs in code on the side of Sid's metal bedpost. The mutant toys emerge from the shadows, and gather around Woody. He kneels down into a huddle with them.",,,,,,,,,,,,,,,,"Babyface crawls out and bangs in code on the side of Sid's metal bedpost. The mutant toys emerge from the shadows, and gather around Woody. He kneels down into a huddle with them.",,,,,,,,,,,,,,,,"Babyface crawls out and bangs in code on the side of Sid's metal bedpost. The mutant toys emerge from the shadows, and gather around Woody. He kneels down into a huddle with them.",,,,,,,,,,,,,,,,"Babyface crawls out and bangs in code on the side of Sid's metal bedpost. The mutant toys emerge from the shadows, and gather around Woody. He kneels down into a huddle with them.",,,,,,,,,,,,,,,,"Babyface crawls out and bangs in code on the side of Sid's metal bedpost. The mutant toys emerge from the shadows, and gather around Woody. He kneels down into a huddle with them.",,,,,,,,,,,,,,,,"Babyface crawls out and bangs in code on the side of Sid's metal bedpost. The mutant toys emerge from the shadows, and gather around Woody. He kneels down into a huddle with them.",,,,,,,,,,,,,,,
203,Woody has created a little diagram of the house and yard out of dominoes and Scrabble tiles. He points to it with a pencil as he addresses the mutants.,INT. SID'S ROOM - CONTINUOUS,He points to it with a pencil,0,Woody,points,point,neutral,neutral,Yes,No,diagram,pencil,null,to diagram,null,null,Woody has created a little diagram of the house and yard out of dominoes and Scrabble tiles. He points to it with a pencil as he addresses the mutants.,He addresses the mutants,1,Woody,addresses,talk,neutral,neutral,No,No,mutants,null,null,null,null,null,Woody has created a little diagram of the house and yard out of dominoes and Scrabble tiles. He points to it with a pencil as he addresses the mutants.,,,,,,,,,,,,,,,,Woody has created a little diagram of the house and yard out of dominoes and Scrabble tiles. He points to it with a pencil as he addresses the mutants.,,,,,,,,,,,,,,,,Woody has created a little diagram of the house and yard out of dominoes and Scrabble tiles. He points to it with a pencil as he addresses the mutants.,,,,,,,,,,,,,,,,Woody has created a little diagram of the house and yard out of dominoes and Scrabble tiles. He points to it with a pencil as he addresses the mutants.,,,,,,,,,,,,,,,,Woody has created a little diagram of the house and yard out of dominoes and Scrabble tiles. He points to it with a pencil as he addresses the mutants.,,,,,,,,,,,,,,,,Woody has created a little diagram of the house and yard out of dominoes and Scrabble tiles. He points to it with a pencil as he addresses the mutants.,,,,,,,,,,,,,,,,Woody has created a little diagram of the house and yard out of dominoes and Scrabble tiles. He points to it with a pencil as he addresses the mutants.,,,,,,,,,,,,,,,,Woody has created a little diagram of the house and yard out of dominoes and Scrabble tiles. He points to it with a pencil as he addresses the mutants.,,,,,,,,,,,,,,,,Woody has created a little diagram of the house and yard out of dominoes and Scrabble tiles. He points to it with a pencil as he addresses the mutants.,,,,,,,,,,,,,,,,Woody has created a little diagram of the house and yard out of dominoes and Scrabble tiles. He points to it with a pencil as he addresses the mutants.,,,,,,,,,,,,,,,
204,The mutants all give an affirmative nod.,"WOODY
continued; to Legs
	You're with Ducky.
to the others
	RollerBob and I don't move till we get the signal. Clear?",The mutants all nod affirmative,0,mutants,nod,nod,neutral,neutral,Yes,No,null,null,null,null,affirmative,affirmative,The mutants all give an affirmative nod.,,,,,,,,,,,,,,,,The mutants all give an affirmative nod.,,,,,,,,,,,,,,,,The mutants all give an affirmative nod.,,,,,,,,,,,,,,,,The mutants all give an affirmative nod.,,,,,,,,,,,,,,,,The mutants all give an affirmative nod.,,,,,,,,,,,,,,,,The mutants all give an affirmative nod.,,,,,,,,,,,,,,,,The mutants all give an affirmative nod.,,,,,,,,,,,,,,,,The mutants all give an affirmative nod.,,,,,,,,,,,,,,,,The mutants all give an affirmative nod.,,,,,,,,,,,,,,,,The mutants all give an affirmative nod.,,,,,,,,,,,,,,,,The mutants all give an affirmative nod.,,,,,,,,,,,,,,,
205,A bottom of wall insulation is pushed aside to reveal Ducky and Legs. They make their way towards a junction box sitting in the center of the floor. Ducky and Legs lift the loose junction box.,INT. SID'S HOUSE/PORCH ATTIC,Ducky makes his way towards a junction box,0,Ducky,makes his way,goForward,neutral,neutral,Yes,Yes,junction box,null,null,towards,null,null,A bottom of wall insulation is pushed aside to reveal Ducky and Legs. They make their way towards a junction box sitting in the center of the floor. Ducky and Legs lift the loose junction box.,Legs makes his way towards a junction box,0,Legs,makes his way,goForward,neutral,neutral,Yes,Yes,junction box,null,null,towards,null,null,A bottom of wall insulation is pushed aside to reveal Ducky and Legs. They make their way towards a junction box sitting in the center of the floor. Ducky and Legs lift the loose junction box.,Ducky lifts the loose junction box,1,Ducky,lifts,pick,neutral,neutral,Yes,No,junction box,null,null,null,null,null,A bottom of wall insulation is pushed aside to reveal Ducky and Legs. They make their way towards a junction box sitting in the center of the floor. Ducky and Legs lift the loose junction box.,Legs lifts the loose junction box,1,Legs,lifts,pick,neutral,neutral,Yes,No,junction box,null,null,null,null,null,A bottom of wall insulation is pushed aside to reveal Ducky and Legs. They make their way towards a junction box sitting in the center of the floor. Ducky and Legs lift the loose junction box.,,,,,,,,,,,,,,,,A bottom of wall insulation is pushed aside to reveal Ducky and Legs. They make their way towards a junction box sitting in the center of the floor. Ducky and Legs lift the loose junction box.,,,,,,,,,,,,,,,,A bottom of wall insulation is pushed aside to reveal Ducky and Legs. They make their way towards a junction box sitting in the center of the floor. Ducky and Legs lift the loose junction box.,,,,,,,,,,,,,,,,A bottom of wall insulation is pushed aside to reveal Ducky and Legs. They make their way towards a junction box sitting in the center of the floor. Ducky and Legs lift the loose junction box.,,,,,,,,,,,,,,,,A bottom of wall insulation is pushed aside to reveal Ducky and Legs. They make their way towards a junction box sitting in the center of the floor. Ducky and Legs lift the loose junction box.,,,,,,,,,,,,,,,,A bottom of wall insulation is pushed aside to reveal Ducky and Legs. They make their way towards a junction box sitting in the center of the floor. Ducky and Legs lift the loose junction box.,,,,,,,,,,,,,,,,A bottom of wall insulation is pushed aside to reveal Ducky and Legs. They make their way towards a junction box sitting in the center of the floor. Ducky and Legs lift the loose junction box.,,,,,,,,,,,,,,,,A bottom of wall insulation is pushed aside to reveal Ducky and Legs. They make their way towards a junction box sitting in the center of the floor. Ducky and Legs lift the loose junction box.,,,,,,,,,,,,,,,
206,Woody throws his arm down.,"SFX: DOORBELL
			INT. SID'S ROOM",Woody throws his arm down,0,Woody,throws,throw,neutral,neutral,Yes,No,arm,null,null,down,null,null,Woody throws his arm down.,,,,,,,,,,,,,,,,Woody throws his arm down.,,,,,,,,,,,,,,,,Woody throws his arm down.,,,,,,,,,,,,,,,,Woody throws his arm down.,,,,,,,,,,,,,,,,Woody throws his arm down.,,,,,,,,,,,,,,,,Woody throws his arm down.,,,,,,,,,,,,,,,,Woody throws his arm down.,,,,,,,,,,,,,,,,Woody throws his arm down.,,,,,,,,,,,,,,,,Woody throws his arm down.,,,,,,,,,,,,,,,,Woody throws his arm down.,,,,,,,,,,,,,,,,Woody throws his arm down.,,,,,,,,,,,,,,,
207,...and opens it.,"HANNAH
	I'm coming! I'm coming!",HANNAH opens it,0,Hannah,opens,open,neutral,neutral,Yes,No,it,null,null,null,null,null,...and opens it.,,,,,,,,,,,,,,,,...and opens it.,,,,,,,,,,,,,,,,...and opens it.,,,,,,,,,,,,,,,,...and opens it.,,,,,,,,,,,,,,,,...and opens it.,,,,,,,,,,,,,,,,...and opens it.,,,,,,,,,,,,,,,,...and opens it.,,,,,,,,,,,,,,,,...and opens it.,,,,,,,,,,,,,,,,...and opens it.,,,,,,,,,,,,,,,,...and opens it.,,,,,,,,,,,,,,,,...and opens it.,,,,,,,,,,,,,,,
208,Woody deliberately falls down limp on the grass.,"WOODY
	Shhhhhhh!
		BUZZ
	What?!
		WOODY
loud whisper
	It's ok. Everything's under control.",Woody deliberately falls down on the limp grass,0,Woody,falls,fall,neutral,neutral,Yes,No,grass,null,on grass,down,limp,deliberately,Woody deliberately falls down limp on the grass.,,,,,,,,,,,,,,,,Woody deliberately falls down limp on the grass.,,,,,,,,,,,,,,,,Woody deliberately falls down limp on the grass.,,,,,,,,,,,,,,,,Woody deliberately falls down limp on the grass.,,,,,,,,,,,,,,,,Woody deliberately falls down limp on the grass.,,,,,,,,,,,,,,,,Woody deliberately falls down limp on the grass.,,,,,,,,,,,,,,,,Woody deliberately falls down limp on the grass.,,,,,,,,,,,,,,,,Woody deliberately falls down limp on the grass.,,,,,,,,,,,,,,,,Woody deliberately falls down limp on the grass.,,,,,,,,,,,,,,,,Woody deliberately falls down limp on the grass.,,,,,,,,,,,,,,,,Woody deliberately falls down limp on the grass.,,,,,,,,,,,,,,,
209,"Sid picks up Woody, examines him for a beat and then smiles.","SID (AS ASTRONAUT)
	Houston, all systems are go. Requesting permission to launch
spotting Woody
	Hey! How'd you get out here?",Sid picks up Woody,0,Sid,picks,collect,neutral,neutral,Yes,No,Woody,null,null,up,null,null,"Sid picks up Woody, examines him for a beat and then smiles.",Sid examines him for a beat,1,Sid,examines,look,fast ,short,No,No,Woody,null,null,null,for a beat,null,"Sid picks up Woody, examines him for a beat and then smiles.",Sid the smiles,2,Sid,smiles,laugh,neutral,neutral,No,No,null,null,null,null,null,null,"Sid picks up Woody, examines him for a beat and then smiles.",,,,,,,,,,,,,,,,"Sid picks up Woody, examines him for a beat and then smiles.",,,,,,,,,,,,,,,,"Sid picks up Woody, examines him for a beat and then smiles.",,,,,,,,,,,,,,,,"Sid picks up Woody, examines him for a beat and then smiles.",,,,,,,,,,,,,,,,"Sid picks up Woody, examines him for a beat and then smiles.",,,,,,,,,,,,,,,,"Sid picks up Woody, examines him for a beat and then smiles.",,,,,,,,,,,,,,,,"Sid picks up Woody, examines him for a beat and then smiles.",,,,,,,,,,,,,,,,"Sid picks up Woody, examines him for a beat and then smiles.",,,,,,,,,,,,,,,,"Sid picks up Woody, examines him for a beat and then smiles.",,,,,,,,,,,,,,,
210,Sid pulls back from lighting the fuse. He turns to look at Woody still lying lifelessly atop the barbecue except for the sound emitting from his voice box.,"WOODY (VOICE BOX)
	Reach for the sky!!
		SID
	Huh?",Sid pulls back from lighting the fuse,0,Sid,pulls back,go,neutral,neutral,Yes,Yes,fuse,null,null,back,null,null,Sid pulls back from lighting the fuse. He turns to look at Woody still lying lifelessly atop the barbecue except for the sound emitting from his voice box.,He turns to look at Woody,1,Sid,turns,turn,neutral,neutral,Yes,No,Woody,null,null,at Woody,null,null,Sid pulls back from lighting the fuse. He turns to look at Woody still lying lifelessly atop the barbecue except for the sound emitting from his voice box.,,,,,,,,,,,,,,,,Sid pulls back from lighting the fuse. He turns to look at Woody still lying lifelessly atop the barbecue except for the sound emitting from his voice box.,,,,,,,,,,,,,,,,Sid pulls back from lighting the fuse. He turns to look at Woody still lying lifelessly atop the barbecue except for the sound emitting from his voice box.,,,,,,,,,,,,,,,,Sid pulls back from lighting the fuse. He turns to look at Woody still lying lifelessly atop the barbecue except for the sound emitting from his voice box.,,,,,,,,,,,,,,,,Sid pulls back from lighting the fuse. He turns to look at Woody still lying lifelessly atop the barbecue except for the sound emitting from his voice box.,,,,,,,,,,,,,,,,Sid pulls back from lighting the fuse. He turns to look at Woody still lying lifelessly atop the barbecue except for the sound emitting from his voice box.,,,,,,,,,,,,,,,,Sid pulls back from lighting the fuse. He turns to look at Woody still lying lifelessly atop the barbecue except for the sound emitting from his voice box.,,,,,,,,,,,,,,,,Sid pulls back from lighting the fuse. He turns to look at Woody still lying lifelessly atop the barbecue except for the sound emitting from his voice box.,,,,,,,,,,,,,,,,Sid pulls back from lighting the fuse. He turns to look at Woody still lying lifelessly atop the barbecue except for the sound emitting from his voice box.,,,,,,,,,,,,,,,,Sid pulls back from lighting the fuse. He turns to look at Woody still lying lifelessly atop the barbecue except for the sound emitting from his voice box.,,,,,,,,,,,,,,,
211,Sid walks over to Woody and picks him up.,"WOODY (VOICE BOX)
	This town ain't big enough for the two of us!
		SID
	What?!",Sid walks over to Woody,0,Sid,walks,goForward,neutral,neutral,Yes,Yes,Woody,null,null,to Woody,null,null,Sid walks over to Woody and picks him up.,Sid picks him up,1,Sid,picks,collect,neutral,neutral,Yes,No,Woody,null,null,up,null,null,Sid walks over to Woody and picks him up.,,,,,,,,,,,,,,,,Sid walks over to Woody and picks him up.,,,,,,,,,,,,,,,,Sid walks over to Woody and picks him up.,,,,,,,,,,,,,,,,Sid walks over to Woody and picks him up.,,,,,,,,,,,,,,,,Sid walks over to Woody and picks him up.,,,,,,,,,,,,,,,,Sid walks over to Woody and picks him up.,,,,,,,,,,,,,,,,Sid walks over to Woody and picks him up.,,,,,,,,,,,,,,,,Sid walks over to Woody and picks him up.,,,,,,,,,,,,,,,,Sid walks over to Woody and picks him up.,,,,,,,,,,,,,,,,Sid walks over to Woody and picks him up.,,,,,,,,,,,,,,,
212,Sid stops short and looks at Woody again.,"WOODY (VOICE BOX)
	Who are you callin' busted, Buster?!",SId looks at Woody again,0,Sid,looks,look,neutral,neutral,No,No,Woody,null,null,at Woody,null,null,Sid stops short and looks at Woody again.,,,,,,,,,,,,,,,,Sid stops short and looks at Woody again.,,,,,,,,,,,,,,,,Sid stops short and looks at Woody again.,,,,,,,,,,,,,,,,Sid stops short and looks at Woody again.,,,,,,,,,,,,,,,,Sid stops short and looks at Woody again.,,,,,,,,,,,,,,,,Sid stops short and looks at Woody again.,,,,,,,,,,,,,,,,Sid stops short and looks at Woody again.,,,,,,,,,,,,,,,,Sid stops short and looks at Woody again.,,,,,,,,,,,,,,,,Sid stops short and looks at Woody again.,,,,,,,,,,,,,,,,Sid stops short and looks at Woody again.,,,,,,,,,,,,,,,,Sid stops short and looks at Woody again.,,,,,,,,,,,,,,,
213,"While Woody's voice box talks, Sid checks the pullstring. It isn't moving. Sid GULPS.","WOODY (VOICE BOX)
continued
	That's right. I'm talking to YOU, Sid Phillips. We don't like being blown up, Sid, or smashed, or ripped apart...",Sid checks the pullstring,0,Sid,checks,look,neutral,neutral,No,No,pullstring,null,null,null,null,null,"While Woody's voice box talks, Sid checks the pullstring. It isn't moving. Sid GULPS.",Sid GULPS,1,Sid,gulps,drink,neutral,neutral,Yes,No,null,null,null,null,null,null,"While Woody's voice box talks, Sid checks the pullstring. It isn't moving. Sid GULPS.",,,,,,,,,,,,,,,,"While Woody's voice box talks, Sid checks the pullstring. It isn't moving. Sid GULPS.",,,,,,,,,,,,,,,,"While Woody's voice box talks, Sid checks the pullstring. It isn't moving. Sid GULPS.",,,,,,,,,,,,,,,,"While Woody's voice box talks, Sid checks the pullstring. It isn't moving. Sid GULPS.",,,,,,,,,,,,,,,,"While Woody's voice box talks, Sid checks the pullstring. It isn't moving. Sid GULPS.",,,,,,,,,,,,,,,,"While Woody's voice box talks, Sid checks the pullstring. It isn't moving. Sid GULPS.",,,,,,,,,,,,,,,,"While Woody's voice box talks, Sid checks the pullstring. It isn't moving. Sid GULPS.",,,,,,,,,,,,,,,,"While Woody's voice box talks, Sid checks the pullstring. It isn't moving. Sid GULPS.",,,,,,,,,,,,,,,,"While Woody's voice box talks, Sid checks the pullstring. It isn't moving. Sid GULPS.",,,,,,,,,,,,,,,,"While Woody's voice box talks, Sid checks the pullstring. It isn't moving. Sid GULPS.",,,,,,,,,,,,,,,
214,Hannah has just come downstairs carrying a new doll when Sid rushes up to her.,INT. SID'S ENTRYWAY,Hannah carries a new doll,0,Hannah,carries,pick,neutral,neutral,No,No,doll,null,null,null,null,null,Hannah has just come downstairs carrying a new doll when Sid rushes up to her.,Sid rushes up to her,0,Sid,rushes,goForward,fast ,short,Yes,Yes,Hannah,null,null,to Hannah,null,null,Hannah has just come downstairs carrying a new doll when Sid rushes up to her.,,,,,,,,,,,,,,,,Hannah has just come downstairs carrying a new doll when Sid rushes up to her.,,,,,,,,,,,,,,,,Hannah has just come downstairs carrying a new doll when Sid rushes up to her.,,,,,,,,,,,,,,,,Hannah has just come downstairs carrying a new doll when Sid rushes up to her.,,,,,,,,,,,,,,,,Hannah has just come downstairs carrying a new doll when Sid rushes up to her.,,,,,,,,,,,,,,,,Hannah has just come downstairs carrying a new doll when Sid rushes up to her.,,,,,,,,,,,,,,,,Hannah has just come downstairs carrying a new doll when Sid rushes up to her.,,,,,,,,,,,,,,,,Hannah has just come downstairs carrying a new doll when Sid rushes up to her.,,,,,,,,,,,,,,,,Hannah has just come downstairs carrying a new doll when Sid rushes up to her.,,,,,,,,,,,,,,,,Hannah has just come downstairs carrying a new doll when Sid rushes up to her.,,,,,,,,,,,,,,,
215,"Woody turns around and looks at Buzz, who's still affixed to Sid's launchpad. Buzz extends his hand to Woody.","WOODY
	Nice work, fellahs. Good job. Comin' out of the ground what a touch! That was a stroke of genius.
		BUZZ
	Woody!",Woody turns around,0,Woody,turns,turn,neutral,neutral,Yes,No,null,null,null,around,null,null,"Woody turns around and looks at Buzz, who's still affixed to Sid's launchpad. Buzz extends his hand to Woody.",Woody looks at Buzz,1,Woody,looks,look,neutral,neutral,No,No,Buzz,null,null,at Buzz,null,null,"Woody turns around and looks at Buzz, who's still affixed to Sid's launchpad. Buzz extends his hand to Woody.",Buzz extends his hand to Woody,2,Buzz,extends,give,neutral,neutral,Yes,No,Woody,hand,null,to Woody,null,null,"Woody turns around and looks at Buzz, who's still affixed to Sid's launchpad. Buzz extends his hand to Woody.",,,,,,,,,,,,,,,,"Woody turns around and looks at Buzz, who's still affixed to Sid's launchpad. Buzz extends his hand to Woody.",,,,,,,,,,,,,,,,"Woody turns around and looks at Buzz, who's still affixed to Sid's launchpad. Buzz extends his hand to Woody.",,,,,,,,,,,,,,,,"Woody turns around and looks at Buzz, who's still affixed to Sid's launchpad. Buzz extends his hand to Woody.",,,,,,,,,,,,,,,,"Woody turns around and looks at Buzz, who's still affixed to Sid's launchpad. Buzz extends his hand to Woody.",,,,,,,,,,,,,,,,"Woody turns around and looks at Buzz, who's still affixed to Sid's launchpad. Buzz extends his hand to Woody.",,,,,,,,,,,,,,,,"Woody turns around and looks at Buzz, who's still affixed to Sid's launchpad. Buzz extends his hand to Woody.",,,,,,,,,,,,,,,,"Woody turns around and looks at Buzz, who's still affixed to Sid's launchpad. Buzz extends his hand to Woody.",,,,,,,,,,,,,,,,"Woody turns around and looks at Buzz, who's still affixed to Sid's launchpad. Buzz extends his hand to Woody.",,,,,,,,,,,,,,,
216,Woody has climbed up on to the rear bumper of the van before realizing that Buzz is missing. He looks back to discover Buzz stuck in the fence.,EXT. ANDY'S DRIVEWAY - CONTINUOUS,He looks back,0,Woody,looks,look,neutral,neutral,No,No,null,null,null,back,null,null,Woody has climbed up on to the rear bumper of the van before realizing that Buzz is missing. He looks back to discover Buzz stuck in the fence.,Buzz sticks in the fence,1,Buzz,sticks,sit,neutral,neutral,No,No,fence,null,in fence,null,null,null,Woody has climbed up on to the rear bumper of the van before realizing that Buzz is missing. He looks back to discover Buzz stuck in the fence.,,,,,,,,,,,,,,,,Woody has climbed up on to the rear bumper of the van before realizing that Buzz is missing. He looks back to discover Buzz stuck in the fence.,,,,,,,,,,,,,,,,Woody has climbed up on to the rear bumper of the van before realizing that Buzz is missing. He looks back to discover Buzz stuck in the fence.,,,,,,,,,,,,,,,,Woody has climbed up on to the rear bumper of the van before realizing that Buzz is missing. He looks back to discover Buzz stuck in the fence.,,,,,,,,,,,,,,,,Woody has climbed up on to the rear bumper of the van before realizing that Buzz is missing. He looks back to discover Buzz stuck in the fence.,,,,,,,,,,,,,,,,Woody has climbed up on to the rear bumper of the van before realizing that Buzz is missing. He looks back to discover Buzz stuck in the fence.,,,,,,,,,,,,,,,,Woody has climbed up on to the rear bumper of the van before realizing that Buzz is missing. He looks back to discover Buzz stuck in the fence.,,,,,,,,,,,,,,,,Woody has climbed up on to the rear bumper of the van before realizing that Buzz is missing. He looks back to discover Buzz stuck in the fence.,,,,,,,,,,,,,,,,Woody has climbed up on to the rear bumper of the van before realizing that Buzz is missing. He looks back to discover Buzz stuck in the fence.,,,,,,,,,,,,,,,,Woody has climbed up on to the rear bumper of the van before realizing that Buzz is missing. He looks back to discover Buzz stuck in the fence.,,,,,,,,,,,,,,,
